date,ticker,forwardEps,forwardPE,currentPrice
2026-04-01,AAPL,9.31526,27.442068,255.63
2026-04-01,MSFT,18.85049,19.594715,369.37
2026-04-01,NVDA,11.11635,15.810045,175.75
2026-04-01,TSLA,2.81043,135.65895,381.26
